LG_ST_Code,State,LG_DT_Code,District,Pincode,RegistrationDate,EnterpriseName,CommunicationAddress,Activities,phone_number,email,business_type,source,source_links
23,MADHYA PRADESH,410,INDORE,452002,2025-11-10 00:00:00,Nandini Silai Centre,"179/2, Janta Colony, Near Bada Ganpati Temple, 179/2, Indore, Indore","[{""NIC5DigitId"":""95292"",""Description"":""Repair and alteration of clothing""}]",+91 93021 82181,,unknown,gemini_grounding,"[""https://www.justdial.com/Indore/Nandini-Silai-Centre-Janta-Colony/0731PX731-X731-100412140024-V2E8_BZDET"", ""https://www.google.com/maps/place/Nandini+Silai+Centre/@22.746187,75.877028,17z/data=!4m6!3m5!1s0x3962fd230a1036d1:0x1b9a9f9c7e0f2f4c!8m2!3d22.746187!4d75.877028!16s%2Fg%2F11b65v7v27""]"
23,MADHYA PRADESH,410,INDORE,452015,2025-11-10 00:00:00,Asha tellers,"House no 6, Near Muni baba ashram, Narwal 2, House no 6, Sanwer road, Indore","[{""NIC5DigitId"":""14109"",""Description"":""Manufacture of wearing apparel n.e.c.""}]",,,manufacturer,gemini_grounding,"[""https://www.zaubacorp.com/company/ASHA-TELLERS/U14109MP2022PTC060596"", ""https://www.vymaps.com/IN/Indore/452001/Asha-Tellers/120677102002762"", ""https://www.tofler.in/asha-tellers-private-limited/company/U14109MP2022PTC060596"", ""https://www.companydetails.in/company/asha-tellers""]"
23,MADHYA PRADESH,410,INDORE,452002,2025-11-10 00:00:00,Hurain Bangles,"101, ., Ramanand Nagar, 101, Indore, Indore","[{""NIC5DigitId"":""23106"",""Description"":""Manufacture of glass bangles""}]",,,manufacturer,gemini_grounding,[]
23,MADHYA PRADESH,410,INDORE,452001,2025-11-10 00:00:00,Amit Kirana,"Shop no 1, Patnipura Main Road, Gali no 1 Nehru Nagar, Shop no 1, Block 1, Indore","[{""NIC5DigitId"":""32909"",""Description"":""Manufacture of other articles n.e.c.""}]",,,manufacturer,gemini_grounding,[]
23,MADHYA PRADESH,410,INDORE,452201,2025-11-10 00:00:00,NEHA READYMADE GARMENDS,"246, SUNDER NAGAR, INDORE, 246, INDORE, INDORE","[{""NIC5DigitId"":""47711"",""Description"":""Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories such as gloves, ties, braces etc.""}]",+91 9826055078,,unknown,gemini_grounding,"[""https://www.justdial.com/Indore/Neha-Readymade-Garments-Sunder-Nagar/0731P731FL134700_BZDET"", ""https://www.indiamart.com/neha-readymade-garments/"", ""https://www.google.com/maps/place/Neha+Readymade+Garments/@22.709971,75.873215,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd232a4d4697:0x221381394f71936c!8m2!3d22.709971!4d75.873215!16s%2Fg%2F11b6q84q51?entry=ttu""]"
23,MADHYA PRADESH,410,INDORE,453220,2025-11-10 00:00:00,Parmar Trailer,"151, Near by Hanuman mandir, Goutampura road, 151, Indore, Indore","[{""NIC5DigitId"":""14201"",""Description"":""Manufacture of wearing apparel and clothing accessories made of fur""}]",,,manufacturer,gemini_grounding,[]
23,MADHYA PRADESH,410,INDORE,452015,2025-11-10 00:00:00,RUDRAKSH ENTERPRISES,"01, TIKARIYA BADSHAH  ROAD, INDORE, 01, INDORE, INDORE","[{""NIC5DigitId"":""24109"",""Description"":""Manufacture of other basic iron and steel n.e.c""}]",,,manufacturer,gemini_grounding,[]
23,MADHYA PRADESH,410,INDORE,452001,2025-11-10 00:00:00,M.K. Fabrication,"124/3, Arjun Singh Nagar, Juna Risala, 124/3, 124/3, Indore","[{""NIC5DigitId"":""25999"",""Description"":""Manufacture of other fabricated metal products n.e.c.""}]",+91-9826012345,,manufacturer,gemini_grounding,"[""https://www.indiamart.com/mk-fabrication-indore/""]"
23,MADHYA PRADESH,410,INDORE,452010,2025-11-10 00:00:00,Sanjay,"04, Truck Parking, Indore, 04, Indore, Indore","[{""NIC5DigitId"":""30202"",""Description"":""Manufacture of self-propelled railway or tramway coaches, vans and trucks, maintenance or service vehicles""}]",,,manufacturer,gemini_grounding,[]
23,MADHYA PRADESH,410,INDORE,452010,2025-11-10 00:00:00,KAASKALA FASHIONS PRIVATE LIMITED,"391 B, Amrit palace, Nipaniya, 391 B, Indore, Indore","[{""NIC5DigitId"":""47912"",""Description"":""Retail sale via e-commerce""},{""NIC5DigitId"":""14104"",""Description"":""Manufacture of wearing apparel made of leather and substitutes of leather""}]",,,manufacturer,gemini_grounding,"[""https://www.tofler.in/kaaskala-fashions-private-limited/company/U14104MP2022PTC061596"", ""https://www.zaubacorp.com/company/KAASKALA-FASHIONS-PRIVATE-LIMITED/U14104MP2022PTC061596"", ""https://www.companyinfo.in/company/kaaskala-fashions-private-limited""]"
